"Region Information","Region Information"
"Region Name / Zipcode","Region Name / Zipcode"
"For single zipcode, you can add zipcode directly from here","For single zipcode, you can add zipcode directly from here"
"Status","Status"
"Enabled","Enabled"
"Disabled","Disabled"
"CSV","CSV"
"Save Entry","Save Entry"
"Edit Region '%'","Edit Region '%'"
"New Region","New Region"
"Manage Region Entry","Manage Region Entry"
"Regions disabled successfully","Regions disabled successfully"
"Region Entries","Region Entries"
"New Entry","New Entry"
"Regions enabled successfully","Regions enabled successfully"
"All Regions","All Regions"
"Zipcode deleted successfully","Zipcode deleted successfully"
"Zipcode List","Zipcode List"
"View","View"
"Edit","Edit"
"Download Example CSV","Download Example CSV"
"Enter Delivery Zipcode","Enter Delivery Zipcode"
"region deleted succesfully","region deleted succesfully"
"Allowed File Type 'CSV' Only","Allowed File Type 'CSV' Only"
"Product is available at ","Product is available at "
"Product is not available at ","Product is not available at "
"Saved Addresses","Saved Addresses"
" to see your saved addresses"," to see your saved addresses"
"Recent","Recent"
"Region with '%1' Id Does Not Exist","Region with '%1' Id Does Not Exist"
"Do you want to enable selected entries?","Do you want to enable selected entries?"
"Do you want to disable selected entries?","Do you want to disable selected entries?"
"Do you want to delete selected entries?","Do you want to delete selected entries?"
"View All Zipcodes","View All Zipcodes"
"Status","Status"
"Region Name","Region Name"
"Id","Id"
"Delete","Delete"
"Disable","Disable"
"Enable","Enable"
"Add Entry","Add Entry"
"zipcode","zipcode"
"'%' Region(s) deleted succesfully","'%' Region(s) deleted succesfully"
"Region deleted succesfully","Region deleted succesfully"
"Something Went Wrong!!!","Something Went Wrong!!!"
"Region Id(s) Invalid","Region Id(s) Invalid"
"Region Id is Invalid","Region Id is Invalid"
"Region Added Successfully","Region Added Successfully"
"Region Updated Successfully","Region Updated Successfully"
"Skipped row %1.<br>%2 already exists.","Skipped row %1.<br>%2 already exists."
"Region "%1" already exist.","Region "%1" already exist.";